Unnamed: 0,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,max_power (in bph),Mileage Unit,Mileage,Engine (CC),car_age,price_per_km
60,Volkswagen,2017,500000,80000,Diesel,Individual,Manual,First Owner,5,108.62,kmpl,21.66,1498,8,6.25
63,Hyundai,2011,235000,60000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197,14,3.9166666666666665
66,Maruti,2013,450000,120000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248,12,3.75
68,Volkswagen,2013,450000,170000,Diesel,Individual,Manual,First Owner,5,103.6,kmpl,20.54,1598,12,2.6470588235294117
70,Ford,2015,610000,90000,Diesel,Individual,Manual,First Owner,5,98.59,kmpl,22.77,1498,10,6.777777777777778
71,Maruti,2017,484999,10000,Petrol,Dealer,Manual,First Owner,5,67.04,kmpl,23.1,998,8,48.4999
74,Hyundai,2012,290000,28000,Petrol,Dealer,Manual,First Owner,5,68.05,kmpl,19.81,1086,13,10.357142857142858
78,Hyundai,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,5,68.05,kmpl,19.81,1086,10,7.8
84,Maruti,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,5,46.3,kmpl,19.7,796,17,1.7647058823529411
85,Hyundai,2017,725000,110000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396,8,6.590909090909091
86,Maruti,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,5,67.05,kmpl,21.79,998,16,2.4025974025974026
88,Maruti,2019,615000,10000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197,6,61.5
90,Maruti,2018,610000,35000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197,7,17.428571428571427
98,Hyundai,2013,522000,150000,Diesel,Individual,Manual,Second Owner,5,126.32,kmpl,22.32,1582,12,3.48
99,Hyundai,2013,451999,69000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.9,1396,12,6.550710144927536
101,Maruti,2020,475000,13000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,21.63,998,5,36.53846153846154
103,Maruti,2017,595000,40000,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197,8,14.875
104,Maruti,2017,440000,35000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998,8,12.571428571428571
105,Hyundai,2016,1140000,50000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582,9,22.8
106,Ford,2017,850000,76139,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498,8,11.163792537333036
108,Renault,2018,350000,25000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999,7,14.0
109,Maruti,2015,360000,40000,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,23.1,998,10,9.0
110,Maruti,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,5,46.3,kmpl,19.7,796,17,1.6153846153846154
111,Maruti,2013,625000,90000,Diesel,Individual,Manual,Second Owner,7,88.76,kmpl,20.77,1248,12,6.944444444444445
113,Maruti,2015,700000,110000,Diesel,Individual,Manual,Second Owner,7,88.76,kmpl,20.77,1248,10,6.363636363636363
126,Maruti,2012,340000,24300,Petrol,Dealer,Manual,First Owner,5,81.8,kmpl,21.21,1197,13,13.991769547325102
128,Tata,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,5,108.5,kmpl,21.5,1497,7,128.125
132,Volkswagen,2011,300000,100000,Diesel,Individual,Manual,Second Owner,5,103.6,kmpl,20.54,1598,14,3.0
134,Ford,2011,160000,120000,Diesel,Individual,Manual,First Owner,5,68.0,kmpl,20.0,1399,14,1.3333333333333333
135,Maruti,2015,515000,36600,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197,10,14.07103825136612
136,Maruti,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,5,67.0,kmpl,20.51,998,10,7.8
139,Maruti,2010,220000,120000,Diesel,Individual,Manual,First Owner,5,73.9,kmpl,21.1,1248,15,1.8333333333333333
146,Toyota,2010,300000,60000,Diesel,Individual,Manual,First Owner,5,87.2,kmpl,21.43,1364,15,5.0
149,Tata,2017,490000,90000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.95,1248,8,5.444444444444445
154,Maruti,2016,459999,60000,Petrol,Individual,Manual,Second Owner,5,83.14,kmpl,20.85,1197,9,7.66665
158,Tata,2019,520000,14000,Petrol,Individual,Manual,First Owner,5,84.0,kmpl,20.3,1199,6,37.142857142857146
159,Maruti,2015,580000,70000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248,10,8.285714285714286
163,Maruti,2017,550000,50000,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197,8,11.0
165,Maruti,2018,420000,35000,Petrol,Individual,Automatic,First Owner,5,67.0,kmpl,20.51,998,7,12.0
166,Maruti,2017,550000,20000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197,8,27.5
168,Maruti,2018,700000,7800,Petrol,Individual,Automatic,First Owner,5,81.8,kmpl,22.0,1197,7,89.74358974358974
169,Maruti,2017,500000,20000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197,8,25.0
173,Maruti,2015,290000,60000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998,10,4.833333333333333
176,Maruti,2018,830000,5000,Petrol,Individual,Automatic,First Owner,5,83.1,kmpl,21.4,1197,7,166.0
178,Maruti,2011,160000,25000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796,14,6.4
181,Hyundai,2020,524000,32000,Petrol,Individual,Manual,First Owner,5,81.86,kmpl,20.14,1197,5,16.375
182,Maruti,2015,245000,40000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796,10,6.125
186,Maruti,2016,350000,140000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998,9,2.5
189,Maruti,2010,250000,110000,Diesel,Individual,Manual,Second Owner,5,73.9,kmpl,21.1,1248,15,2.272727272727273
190,Hyundai,2017,1100000,37000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582,8,29.72972972972973
192,Maruti,2015,640000,80000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248,10,8.0
199,Maruti,2013,550000,70000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248,12,7.857142857142857
201,Hyundai,2009,200000,53000,Petrol,Individual,Manual,Second Owner,5,78.9,kmpl,20.36,1197,16,3.7735849056603774
202,Maruti,2014,500000,120000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,23.4,1248,11,4.166666666666667
206,Maruti,2015,350000,100000,Petrol,Individual,Manual,First Owner,5,83.11,kmpl,20.4,1197,10,3.5
208,Hyundai,2017,800000,39000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396,8,20.512820512820515
212,Hyundai,2013,530000,92500,Diesel,Individual,Manual,First Owner,5,126.3,kmpl,22.32,1582,12,5.72972972972973
213,Maruti,2012,360000,158000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248,13,2.278481012658228
221,Maruti,2015,525000,20000,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197,10,26.25
225,Maruti,2014,375000,80000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197,11,4.6875
226,Hyundai,2015,500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,5,88.73,kmpl,22.54,1396,10,7.142857142857143
234,Tata,2012,290000,60000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.02,1248,13,4.833333333333333
235,Maruti,2005,110000,45000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796,20,2.4444444444444446
242,Maruti,2016,520000,20000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197,9,26.0
248,Maruti,2019,675000,16500,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.01,1197,6,40.90909090909091
250,Maruti,2005,90000,99361,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796,20,0.9057879852255916
256,Tata,2018,645000,10000,Petrol,Individual,Automatic,First Owner,5,84.0,kmpl,20.3,1199,7,64.5
264,Maruti,2017,409999,47000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998,8,8.723382978723404
265,Hyundai,2018,1210000,25000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,21.38,1396,7,48.4
268,Maruti,2016,650000,50000,Petrol,Individual,Automatic,First Owner,5,83.1,kmpl,21.4,1197,9,13.0
271,Maruti,2014,400000,50000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197,11,8.0
274,Maruti,2017,351000,36000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998,8,9.75
276,Maruti,2011,185000,185000,Diesel,Individual,Manual,Third Owner,5,73.9,kmpl,21.1,1248,14,1.0
280,Maruti,2005,85000,80000,Petrol,Individual,Manual,Fourth & Above Owner,5,46.3,kmpl,19.7,796,20,1.0625
283,Maruti,2013,480000,110000,Diesel,Individual,Manual,Third Owner,7,88.76,kmpl,20.77,1248,12,4.363636363636363
286,Ford,2010,170000,90000,Diesel,Individual,Manual,Second Owner,5,68.0,kmpl,20.0,1399,15,1.8888888888888888
289,Maruti,2018,610000,52000,Petrol,Dealer,Manual,First Owner,5,81.8,kmpl,22.0,1197,7,11.73076923076923
292,Renault,2018,390000,13000,Petrol,Dealer,Manual,First Owner,5,53.26,kmpl,20.71,799,7,30.0
295,Toyota,2013,400000,70000,Diesel,Dealer,Manual,Second Owner,5,67.06,kmpl,23.59,1364,12,5.714285714285714
296,Hyundai,2009,215000,60000,Petrol,Dealer,Manual,First Owner,5,78.9,kmpl,20.36,1197,16,3.5833333333333335
297,Renault,2014,570000,40000,Diesel,Dealer,Manual,First Owner,5,83.8,kmpl,20.45,1461,11,14.25
305,Hyundai,2010,140000,70000,Petrol,Individual,Manual,Fourth & Above Owner,5,78.9,kmpl,20.36,1197,15,2.0
310,Maruti,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,5,67.05,kmpl,21.79,998,12,3.856503779373704
314,Maruti,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,5,81.8,kmpl,22.0,1197,6,115.63778687066359
316,Maruti,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,5,81.8,kmpl,22.0,1197,7,8.598575502658393
319,Hyundai,2010,150000,106000,Petrol,Individual,Manual,Third Owner,5,78.9,kmpl,20.36,1197,15,1.4150943396226414
322,Hyundai,2014,535000,70000,Diesel,Individual,Manual,Third Owner,5,126.32,kmpl,22.32,1582,11,7.642857142857143
324,Maruti,2012,300000,100000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,21.5,1248,13,3.0
327,Maruti,2016,240000,50000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796,9,4.8
331,Maruti,2020,409999,35000,CNG,Individual,Manual,First Owner,5,61.7,km/kg,20.88,1196,5,11.714257142857143
334,Maruti,2010,150000,80000,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998,15,1.875
335,Hyundai,2013,219000,50000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814,12,4.38
339,Hyundai,2017,950000,45000,Diesel,Individual,Manual,First Owner,5,88.7,kmpl,21.38,1396,8,21.11111111111111
340,Maruti,2010,160000,80000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796,15,2.0
343,Toyota,2013,450000,67000,Diesel,Individual,Manual,First Owner,5,67.1,kmpl,23.59,1364,12,6.7164179104477615
347,Maruti,2013,530000,120000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,23.4,1248,12,4.416666666666667
348,Volkswagen,2015,520000,110000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,20.14,1498,10,4.7272727272727275
349,Mahindra,2011,229999,170000,Diesel,Individual,Manual,Second Owner,5,64.1,kmpl,21.0,1461,14,1.3529352941176471
354,Maruti,2014,320000,50000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998,11,6.4
355,Ford,2015,292000,70000,Diesel,Individual,Manual,First Owner,5,68.05,kmpl,20.0,1399,10,4.171428571428572
358,Maruti,2014,385000,25000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998,11,15.4
360,Maruti,2019,675000,10000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197,6,67.5
362,Ford,2018,950000,30000,Diesel,Individual,Manual,First Owner,5,98.96,kmpl,23.0,1498,7,31.666666666666668
363,Hyundai,2015,610000,50000,Diesel,Individual,Manual,Second Owner,5,88.73,kmpl,21.19,1396,10,12.2
364,Hyundai,2012,525000,120000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396,13,4.375
366,Maruti,2015,434999,50000,Petrol,Individual,Manual,Second Owner,5,83.11,kmpl,20.4,1197,10,8.69998
371,Renault,2018,1050000,18000,Diesel,Dealer,Manual,First Owner,5,108.45,kmpl,19.6,1461,7,58.333333333333336
382,Ford,2013,300000,60000,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,23.5,1498,12,5.0
384,Hyundai,2008,229999,50000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086,17,4.59998
393,Hyundai,2018,500000,60000,Petrol,Individual,Manual,First Owner,5,81.86,kmpl,20.14,1197,7,8.333333333333334
395,Maruti,2014,250000,25000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796,11,10.0
398,Volkswagen,2011,250000,70000,Diesel,Individual,Manual,Second Owner,5,103.6,kmpl,20.54,1598,14,3.5714285714285716
400,Toyota,2013,409999,45000,Diesel,Individual,Manual,First Owner,5,67.06,kmpl,23.59,1364,12,9.111088888888888
406,Maruti,2016,270000,50000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796,9,5.4
415,Maruti,2011,165000,90000,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998,14,1.8333333333333333
420,Hyundai,2013,180000,60000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814,12,3.0
426,Maruti,2009,125000,60000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796,16,2.0833333333333335
428,Volkswagen,2012,450000,90000,Diesel,Individual,Manual,First Owner,5,103.6,kmpl,20.54,1598,13,5.0
429,Maruti,2011,210000,46000,Petrol,Individual,Manual,First Owner,5,67.1,kmpl,20.92,998,14,4.565217391304348
434,Hyundai,2017,320000,15000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814,8,21.333333333333332
436,Maruti,2009,130000,70000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796,16,1.8571428571428572
439,Ford,2013,200000,70000,Diesel,Individual,Manual,Second Owner,5,67.0,kmpl,19.68,1399,12,2.857142857142857
440,Maruti,2002,140000,50000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796,23,2.8
443,Maruti,2015,236000,60000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796,10,3.933333333333333
444,Maruti,2015,390000,40000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998,10,9.75
448,Hyundai,2016,850000,58000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582,9,14.655172413793103
456,Hyundai,2017,300000,10000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814,8,30.0
458,Hyundai,2019,466000,25000,Petrol,Individual,Automatic,Fourth & Above Owner,5,68.0,kmpl,20.3,1086,6,18.64
459,Ford,2014,484999,54000,Diesel,Dealer,Manual,First Owner,5,98.96,kmpl,23.0,1498,11,8.981462962962963
462,Hyundai,2011,220000,120000,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,23.0,1396,14,1.8333333333333333
463,Maruti,2013,630000,120000,Diesel,Individual,Manual,Second Owner,7,88.8,kmpl,20.77,1248,12,5.25
466,Hyundai,2013,525000,75000,Diesel,Individual,Automatic,First Owner,5,126.3,kmpl,22.32,1582,12,7.0
471,Ford,2013,245000,70000,Diesel,Individual,Manual,Second Owner,5,68.1,kmpl,20.0,1399,12,3.5
472,Hyundai,2012,210000,76000,Petrol,Individual,Manual,Fourth & Above Owner,5,78.9,kmpl,20.36,1197,13,2.763157894736842
473,Maruti,2020,730000,1500,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197,5,486.6666666666667
475,Maruti,2015,400000,40000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998,10,10.0
476,Hyundai,2015,280000,60000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814,10,4.666666666666667
479,Volkswagen,2017,700000,40906,Diesel,Dealer,Manual,First Owner,5,108.62,kmpl,21.66,1498,8,17.112404048305873
481,Hyundai,2012,270000,43755,Petrol,Dealer,Manual,Second Owner,5,55.2,kmpl,21.1,814,13,6.170723345903325
486,Hyundai,2011,400000,221889,Diesel,Dealer,Manual,First Owner,5,126.32,kmpl,22.32,1582,14,1.802703153378491
488,Maruti,2015,500000,150546,Petrol,Dealer,Manual,First Owner,5,81.8,kmpl,22.0,1197,10,3.3212440051545706
495,Hyundai,2011,200000,80000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086,14,2.5
497,Renault,2016,350000,25000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999,9,14.0
501,Maruti,2013,200000,24000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796,12,8.333333333333334
504,Ford,2012,300000,70000,Diesel,Individual,Manual,Second Owner,5,68.0,kmpl,20.0,1399,13,4.285714285714286
507,Hyundai,2008,135000,80000,Petrol,Individual,Manual,Second Owner,5,68.05,kmpl,19.81,1086,17,1.6875
515,Maruti,2011,300000,70000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248,14,4.285714285714286
519,Maruti,2014,420000,80000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,23.4,1248,11,5.25
520,Hyundai,2015,235000,50000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814,10,4.7
524,Ford,2016,650000,125000,Diesel,Individual,Manual,First Owner,5,98.59,kmpl,22.77,1498,9,5.2
525,Maruti,2016,350000,80000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998,9,4.375
527,Hyundai,2010,270000,90000,Diesel,Individual,Manual,Third Owner,5,90.0,kmpl,23.0,1396,15,3.0
528,Tata,2017,450000,50000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.95,1248,8,9.0
536,Hyundai,2008,275000,98000,Petrol,Individual,Manual,Third Owner,5,78.9,kmpl,20.36,1197,17,2.806122448979592
538,Maruti,2012,215000,90000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796,13,2.388888888888889
546,Maruti,2019,655000,25000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,21.21,1197,6,26.2
547,Ford,2019,800000,30000,Diesel,Individual,Manual,Third Owner,5,98.96,kmpl,23.0,1498,6,26.666666666666668
551,Volkswagen,2011,300000,72000,Diesel,Individual,Manual,Second Owner,5,103.6,kmpl,20.54,1598,14,4.166666666666667
557,Maruti,2015,320000,50000,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,20.51,998,10,6.4
558,Hyundai,2010,210000,20000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086,15,10.5
565,Renault,2016,300000,50000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999,9,6.0
570,Hyundai,2015,290000,17000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814,10,17.058823529411764
572,Maruti,2016,395000,50000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998,9,7.9
573,Hyundai,2014,195000,65000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814,11,3.0
577,Hyundai,2015,715000,50000,Diesel,Individual,Manual,First Owner,5,88.73,kmpl,22.54,1396,10,14.3
583,Hyundai,2012,335000,135000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.9,1396,13,2.4814814814814814
584,Maruti,2014,300000,35000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,23.1,998,11,8.571428571428571
591,Tata,2013,280000,80000,Diesel,Individual,Manual,First Owner,5,88.76,kmpl,21.02,1248,12,3.5
593,Hyundai,2018,500000,10000,Petrol,Individual,Manual,First Owner,5,81.86,kmpl,20.14,1197,7,50.0
599,Renault,2017,300000,35000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999,8,8.571428571428571
600,Volkswagen,2014,350000,60000,Diesel,Individual,Manual,Second Owner,5,88.8,kmpl,20.14,1498,11,5.833333333333333
602,Maruti,2015,450000,30000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197,10,15.0
614,Hyundai,2011,180000,80000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814,14,2.25
615,Hyundai,2013,200000,80000,Petrol,Individual,Manual,Second Owner,5,55.2,kmpl,21.1,814,12,2.5
616,Maruti,2005,85000,150000,Petrol,Individual,Manual,Second Owner,5,46.3,kmpl,19.7,796,20,0.5666666666666667
619,Volkswagen,2010,275000,80000,Diesel,Individual,Manual,Fourth & Above Owner,5,73.9,kmpl,22.07,1199,15,3.4375
625,Hyundai,2012,321000,100000,Diesel,Individual,Manual,Second Owner,5,90.0,kmpl,23.0,1396,13,3.21
631,Tata,2012,250000,40000,Diesel,Individual,Manual,First Owner,5,74.0,kmpl,22.3,1248,13,6.25
647,Maruti,2010,165000,30000,Petrol,Individual,Manual,Third Owner,5,46.3,kmpl,19.7,796,15,5.5
649,Maruti,2013,430000,86000,Diesel,Individual,Manual,Second Owner,5,74.0,kmpl,22.9,1248,12,5.0
651,Renault,2018,400000,60000,Petrol,Individual,Manual,First Owner,5,67.0,kmpl,23.01,999,7,6.666666666666667
653,Maruti,2015,430000,5000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998,10,86.0
654,Maruti,2017,573000,30000,Petrol,Individual,Manual,First Owner,5,81.8,kmpl,20.4,1197,8,19.1
655,Hyundai,2015,210000,40000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814,10,5.25
658,Tata,2019,550000,15000,Petrol,Individual,Manual,First Owner,5,84.0,kmpl,20.3,1199,6,36.666666666666664
667,Maruti,2008,95000,120000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796,17,0.7916666666666666
668,Maruti,2009,101000,90000,Petrol,Individual,Manual,Fourth & Above Owner,8,35.0,kmpl,19.7,796,16,1.1222222222222222
671,Hyundai,2012,244000,38000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814,13,6.421052631578948
672,Maruti,2013,250000,90000,Petrol,Individual,Manual,Second Owner,5,67.04,kmpl,20.51,998,12,2.7777777777777777
673,Maruti,2016,660000,60000,Petrol,Individual,Manual,First Owner,5,83.1,kmpl,21.4,1197,9,11.0
675,Maruti,2012,280000,156060,Diesel,Individual,Manual,First Owner,5,73.94,kmpl,23.2,1248,13,1.7941817249775727
676,Hyundai,2017,1050000,60000,Diesel,Individual,Manual,First Owner,5,126.2,kmpl,19.67,1582,8,17.5
677,Maruti,2017,525000,70000,Petrol,Individual,Manual,First Owner,5,83.14,kmpl,20.85,1197,8,7.5
682,Maruti,2015,241000,15000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796,10,16.066666666666666
683,Maruti,2015,235000,20000,Petrol,Individual,Manual,First Owner,5,47.3,kmpl,22.74,796,10,11.75
684,Ford,2015,615000,80000,Diesel,Individual,Manual,First Owner,5,98.59,kmpl,22.77,1498,10,7.6875
685,Mahindra,2014,350000,110000,Diesel,Individual,Manual,Second Owner,5,64.1,kmpl,20.8,1461,11,3.1818181818181817
686,Maruti,2014,350000,35000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998,11,10.0
687,Maruti,2014,380000,35000,Petrol,Individual,Manual,First Owner,5,67.04,kmpl,20.51,998,11,10.857142857142858
693,Hyundai,2015,360000,20000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086,10,18.0
697,Hyundai,2016,425000,15000,Petrol,Individual,Manual,First Owner,5,68.05,kmpl,19.81,1086,9,28.333333333333332
700,Maruti,2009,120000,58000,Petrol,Individual,Manual,First Owner,5,46.3,kmpl,19.7,796,16,2.0689655172413794
703,Hyundai,2015,204999,43000,Petrol,Individual,Manual,Second Owner,5,68.05,kmpl,20.3,998,10,4.767418604651163
705,Maruti,2013,600000,60000,Diesel,Individual,Manual,First Owner,7,88.8,kmpl,20.77,1248,12,10.0
711,Hyundai,2011,300000,80000,Diesel,Individual,Manual,First Owner,5,126.32,kmpl,22.32,1582,14,3.75
713,Maruti,2015,750000,14000,Diesel,Individual,Manual,First Owner,7,88.76,kmpl,20.77,1248,10,53.57142857142857
716,Hyundai,2011,160000,57000,Petrol,Individual,Manual,First Owner,5,55.2,kmpl,21.1,814,14,2.807017543859649
719,Toyota,2015,1050000,60000,Diesel,Individual,Manual,First Owner,5,87.2,kmpl,21.43,1364,10,17.5
